21,sitename,PISCO_CODE,PERIMETER,AREA,DEPTH,ATOS_ID,HAB_ID,ACRES,HECTARES,ZONE_CODE,ZONE,Year,POLY_ID,dens_sm,pupratio,lin_dens,trend5yr,Sect_ID
23,ANDREW_MOLERA_UC,SAMO01,4.845358938,0.965904734,-30 to -60m,506,506o,238.6802577,96.59047336,o,3,2016,506o,0,0.101695,4.126984,0.173143,6
23,ANDREW_MOLERA_UC,SAMO01,4.701600878,0.650261073,0 to -30m,517,517n,160.6830105,65.02610729,n,2,2016,517n,3.492088,0.10303,2.888889,0.191731,6
23,ANDREW_MOLERA_UC,SAMO01,5.112663504,0.738987154,0 to -30m,516,516n,182.6077026,73.8987154,n,2,2016,516n,3.192897,0.084848,2.84127,0.191558,6
23,ANDREW_MOLERA_UC,SAMO01,5.875449031,1.149242499,0 to -30m,515,515n,283.9840062,114.9242499,n,2,2016,515n,2.930546,0.099448,3.15873,0.190996,6
23,ANDREW_MOLERA_UC,SAMO01,5.92913335,0.923849223,0 to -30m,514,514n,228.2881146,92.38492227,n,2,2016,514n,2.966994,0.101064,3.285714,0.19024,6
23,ANDREW_MOLERA_UC,SAMO01,6.40246482,1.272016305,0 to -30m,513,513n,314.3220742,127.2016305,n,2,2016,513n,3.088944,0.09596,3.444444,0.189284,6
23,ANDREW_MOLERA_UC,SAMO01,6.03640825,1.059856119,0 to -30m,511,511n,261.8961506,105.9856119,n,2,2016,511n,3.906328,0.103896,4.047619,0.186379,6
23,ANDREW_MOLERA_UC,SAMO01,5.0343263,0.79540934,0 to -30m,509,509n,196.5499283,79.54093396,n,2,2016,509n,4.044109,0.102128,4.111111,0.182202,6
23,ANDREW_MOLERA_UC,SAMO01,6.30922107,1.183010129,0 to -30m,512,512n,292.3281691,118.3010129,n,2,2016,512n,3.650098,0.099099,3.873016,0.18797,6
23,ANDREW_MOLERA_UC,SAMO01,5.300337412,1.089453347,0 to -30m,510,510n,269.2097849,108.9453347,n,2,2016,510n,4.058506,0.105932,4.142857,0.184474,6
23,ANDREW_MOLERA_UC,SAMO01,3.575100807,0.588511199,-30 to -60m,513,513o,145.4242843,58.85111989,o,3,2016,513o,0,0.09596,3.444444,0.189284,6
23,ANDREW_MOLERA_UC,SAMO01,2.934284852,0.457891242,-30 to -60m,515,515o,113.1473899,45.78912415,o,3,2016,515o,0,0.099448,3.15873,0.190996,6
23,ANDREW_MOLERA_UC,SAMO01,2.326026247,0.269762145,-30 to -60m,517,517o,66.65967777,26.97621451,o,3,2016,517o,0,0.10303,2.888889,0.191731,6
23,ANDREW_MOLERA_UC,SAMO01,2.268314585,0.265742269,-30 to -60m,518,518o,65.66634475,26.5742269,o,3,2016,518o,0,0.107595,2.777778,0.191563,6
23,ANDREW_MOLERA_UC,SAMO01,2.429207101,0.288330038,-30 to -60m,516,516o,71.24790406,28.83300381,o,3,2016,516o,0,0.084848,2.84127,0.191558,6
23,ANDREW_MOLERA_UC,SAMO01,3.093634075,0.454296872,-30 to -60m,514,514o,112.2592019,45.4296872,o,3,2016,514o,0,0.101064,3.285714,0.19024,6
23,ANDREW_MOLERA_UC,SAMO01,2.694649167,0.441929625,-30 to -60m,519,519o,109.2031886,44.19296251,o,3,2016,519o,0,0.084416,2.650794,0.191127,6
23,ANDREW_MOLERA_UC,SAMO01,4.504552492,0.762393689,0 to -30m,519,519n,188.3915834,76.23936892,n,2,2016,519n,3.31563,0.084416,2.650794,0.191127,6
